Operation time, min;CT_wear_1, mkm;CT_wear_2, mkm;CT_wear_3, mkm;CT_wear_4, mkm;CT_wear_5, mkm
0;0;0;0;0;0
0,5;0,214125;1;1;1,2054;2,050225
1;0,6782;0,6782;5;0,6487;3,9529
1,5;1,365075;1,365075;3;1,30155;5,716125
2;4,2476;3,2476;8;2,1356;7,348
2,5;4,298625;3,298625;4;4,1225;8,856625
3;3,491;4,491;7;4,2339;10,2501
3,5;4,797575;6,797575;9;7,44145;11,536525
4;7,1912;8,1912;10;6,7168;12,724
4,5;6,644725;9,644725;11;8,0316;13,820625
5;10,131;10,131;12;9,3575;14,8345
5,5;10,622875;10,622875;11;10,66615;15,773725
5,63;12,00832958;12,66615;14;11,00007517;22,5599
9,07;16,2999;11,00007517;21;16,8204;26,0711
14,7;18,8111;17,8204;30,55;20,874;29,181
18,13;22,921;19,874;31,88;23,3436;32,6849
23,77;25,4249;23,3436;33,21;27,4044;35,8021
27,2;29,5421;27,4044;35,87;29,874;37,306
32,83;32,046;30,874;38,53;33,9276;42,4159
36,27;36,1559;34,9276;43,85;35,4044;43,9271
41,9;38,6671;35,4044;46,51;41,458;50,037
45,33;42,777;40,458;50,5;41,9276;51,5409
50,97;45,2809;43,9276;51,83;47,9884;54,6581
54,4;49,3981;45,9884;57,15;50,458;59,162
60,03;51,902;50,458;61,14;52,5116;63,2719
63,47;56,0119;54,5116;65,13;54,9884;64,7831
69,1;58,5231;55,9884;67,79;60,042;68,893
72,53;62,633;60,042;71,78;61,5116;71,3969
78,17;65,1369;63,5116;73,11;65,5724;75,5141
81,6;69,2541;66,5724;75,77;68,042;79,018
87,23;71,758;70,042;78,43;74,0956;81,1279
90,67;75,8679;72,0956;82,42;76,5724;85,6391
96,3;78,3791;74,5724;89,07;79,626;87,749
99,73;82,489;79,626;91,73;83,0956;90,2529
105,37;84,9929;83,0956;95,72;87,1564;96,3701
108,8;89,1101;85,1564;97,05;89,626;97,874
114,43;91,614;88,626;99,71;91,6796;102,9839
117,87;95,7239;92,6796;100;94,1564;105,4951
123,5;98,2351;95,1564;106,36;100,21;109,605
126,93;109,8853688;99,21;108;102,6796;110,1089
132,57;113,9328209;101,6796;107,8933305;108,4459894;111,9529099
136;114,2990929;108,4459894;113,0492;111,68;114,042281
141,63;118,846765;113,2525782;121,3477961;120,0638053;118,7520693
145,07;123,1424321;120,0638053;126,473879;123,4099609;122,0229386
150,7;130,9291;127,2513;135,2545202;127,2513;127,2689
154,13;135,9291;128,4411568;140,9974246;128,4411568;130,0112231
